"txid","ordertxid","pair","time","type","ordertype","price","cost","fee","vol","margin","misc","ledgers"
"TJXEYG-LCF6C-57MH5Z","OL6Y7W-PQIOH-77LYO7","XETHZEUR","2017-03-03 06:47:48.3868","buy","limit",19.21843,49.61065,0.12899,2.58141000,0.00000,"","L3OZRK-DIJ5L-KSLA7X,LFPHZJ-BEKRY-OBEAIS"
"TZGN3Z-VHYL7-3HFXX6","O7Q2KX-Y3C7R-DYG7ND","XXBTZEUR","2017-03-13 22:26:27.1611","buy","limit",1148.65200,84.35750,0.13497,0.07344043,0.00000,"","LRQQSQ-BVNLI-IEVKME,L6SPQX-24LTB-FQ7LYT"
"TGVT4V-HEFG2-STDY5M","O7Q2KX-Y3C7R-DYG7ND","XXBTZEUR","2017-03-13 22:26:28.7497","buy","limit",1148.65200,406.25524,0.65001,0.35368000,0.00000,"","LGCLNT-4GG2X-LW5YDU,LLSSPD-3IWMC-Q3LYWC"
"T5ZLOI-53PEU-BOKXCC","O7Q2KX-Y3C7R-DYG7ND","XXBTZEUR","2017-03-13 22:26:30.4249","buy","limit",1148.65200,458.86259,0.73418,0.39947921,0.00000,"","LYQJEE-RI6L2-65VFJC,LRJATA-MERPF-JGL7YU"
"TKYAJD-2A2UK-5EHZQJ","ODWMIJ-EDOWB-WCNNNO","XXBTZEUR","2017-03-17 10:10:14.4653","buy","limit",1011.06700,999.94526,1.59991,0.98900000,0.00000,"","LQ3XKV-RAODO-MYW6RW,LYY2RL-XC7EV-F2FJNK"
"TW2XVQ-U6UEB-C2PLLT","ONJTDH-IBMYB-WT6O6L","XETHXXBT","2017-03-17 11:17:04.9786","buy","limit",0.038234,0.340000,0.000544,8.89260800,0.000000,"","LNT7PY-ML7PR-IL57HA,LCHTUW-QOISO-ABQTUL"
"TFJGLR-WPATL-TMACNT","OS2TEU-LVGFC-NHWV72","XZECXXBT","2017-03-18 08:28:33.4017","buy","limit",0.044300,0.007753,0.000012,0.17502200,0.000000,"","LPXKQG-LKJ2D-EZ4X6L,LSFEPV-3WHII-KSKOW7"
"TX4IJB-LNILY-RO52OE","OS2TEU-LVGFC-NHWV72","XZECXXBT","2017-03-18 08:30:59.732","buy","limit",0.044300,0.000488,0.000001,0.01101000,0.000000,"","LNJBCD-S5KFE-VUSFFR,LDKCFZ-ZRGF6-TW6PYG"
"TF3D44-DQQXF-XLNVNG","OS2TEU-LVGFC-NHWV72","XZECXXBT","2017-03-18 08:31:17.6393","buy","limit",0.044300,0.014134,0.000023,0.31904200,0.000000,"","LPRKU4-5C2SO-FQCN4G,LCS4UR-NGMSI-MU3CIQ"
"T3P6QS-PRDIP-CXSUP5","OS2TEU-LVGFC-NHWV72","XZECXXBT","2017-03-18 08:32:09.8127","buy","limit",0.044300,0.077597,0.000124,1.75162528,0.000000,"","LGXZSE-WBAQO-55XYIO,LIUFXH-EDZWB-SLBSXA"
"TPANPP-WWT36-RWYHZG","OCOGKZ-ERAQC-Y2Y4SF","XLTCZEUR","2017-05-09 08:04:14.0846","buy","limit",21.98995,374.85080,0.97461,17.04646000,0.00000,"","LCE2A4-GXCWI-IQIZL7,LHHFAG-ZZEBE-SAHGV2"
"TWHRLP-VZV2D-BUIWNX","OER32D-T6IOR-WTY5I2","XXBTZEUR","2017-05-09 13:01:10.4141","buy","limit",1582.64000,63.30560,0.16459,0.04000000,0.00000,"","LKTYC5-JZ57V-PHMCFL,LWXTWZ-44OPX-GH6W6V"
